seed,model,n_train,n_validation,n_test,test_positive_rate,train_seconds,accuracy,precision,recall,f1,auroc,auprc,brier,precision_at_k,recall_at_k,k
42,Elliptic2_LogisticRegression,85267,18271,18272,0.022712346760070053,8.924432516098022,0.7940017513134852,0.08684924747100913,0.8481927710843373,0.1575649059982095,0.8852711400004453,0.15193625565837254,0.14404550439008623,0.18161925601750548,0.4,914
42,Elliptic2_RandomForest,85267,18271,18272,0.022712346760070053,39.114337682724,0.9818848511383538,0.9285714285714286,0.21927710843373494,0.35477582846003897,0.9226059639802419,0.49404232321751523,0.015623037891063271,0.2702407002188184,0.5951807228915663,914
42,Elliptic2_ExtraTrees,85267,18271,18272,0.022712346760070053,20.063308238983154,0.9814470227670753,0.88,0.21204819277108433,0.341747572815534,0.9204912386287043,0.46168003266530777,0.016539998278039505,0.26695842450765866,0.5879518072289157,914
42,Elliptic2_HistGradientBoosting,85267,18271,18272,0.022712346760070053,3.6102652549743652,0.8635617338003503,0.12490974729241877,0.8337349397590361,0.21726844583987442,0.9286553617730147,0.46681206433210276,0.08486920616617462,0.26805251641137856,0.5903614457831325,914
42,Elliptic2_MLP,85267,18271,18272,0.022712346760070053,10.425644159317017,0.9815017513134852,0.7769784172661871,0.26024096385542167,0.3898916967509025,0.9120639133787768,0.4370737614261049,0.01631535623027596,0.25820568927789933,0.5686746987951807,914
42,Elliptic2_XGBoost,85267,18271,18272,0.022712346760070053,3.7615888118743896,0.8584172504378283,0.12054507337526206,0.8313253012048193,0.2105584375953616,0.9256080602861689,0.46745246315050304,0.09073499790265949,0.27571115973741794,0.6072289156626506,914
123,Elliptic2_LogisticRegression,85267,18271,18272,0.022712346760070053,9.479541540145874,0.7961361646234676,0.08625,0.8313253012048193,0.15628539071347677,0.8827395149281676,0.1447079624270165,0.14323999590863856,0.1586433260393873,0.3493975903614458,914
123,Elliptic2_RandomForest,85267,18271,18272,0.022712346760070053,38.95859980583191,0.9817206654991243,0.900990099009901,0.21927710843373494,0.35271317829457366,0.9224895100365622,0.4793164898711645,0.01579866894608076,0.26914660831509846,0.5927710843373494,914
123,Elliptic2_ExtraTrees,85267,18271,18272,0.022712346760070053,24.400413751602173,0.9815564798598949,0.89,0.21445783132530122,0.34563106796116505,0.9221294204088573,0.45315534455451845,0.01663241754350731,0.24726477024070023,0.5445783132530121,914
123,Elliptic2_HistGradientBoosting,85267,18271,18272,0.022712346760070053,4.7909111976623535,0.8719352014010507,0.1310847067842085,0.8240963855421687,0.2261904761904762,0.9304849571326692,0.47367426906662746,0.08123785497466113,0.2811816192560175,0.619277108433735,914
123,Elliptic2_MLP,85267,18271,18272,0.022712346760070053,15.794769525527954,0.9808997373029772,0.6987951807228916,0.27951807228915665,0.3993115318416523,0.9052025765603716,0.4132482480565136,0.016867799029850545,0.24179431072210067,0.5325301204819277,914
123,Elliptic2_XGBoost,85267,18271,18272,0.022712346760070053,3.993701457977295,0.857103765323993,0.12059433310297167,0.8409638554216867,0.2109398609851919,0.9275437866153533,0.4672537504559063,0.09095589026592273,0.2778993435448578,0.6120481927710844,914
456,Elliptic2_LogisticRegression,85267,18271,18272,0.022712346760070053,8.603293657302856,0.7914295096322241,0.08321060382916053,0.8168674698795181,0.15103586544887504,0.8766747338797988,0.13928779636873073,0.14668577943285369,0.17067833698030635,0.3759036144578313,914
456,Elliptic2_RandomForest,85267,18271,18272,0.022712346760070053,39.85533165931702,0.9815564798598949,0.875,0.21927710843373494,0.35067437379576105,0.9203496856890518,0.4695970901179905,0.01591406916983914,0.26805251641137856,0.5903614457831325,914
456,Elliptic2_ExtraTrees,85267,18271,18272,0.022712346760070053,22.827909469604492,0.9813375656742557,0.8303571428571429,0.22409638554216868,0.35294117647058826,0.9135545373519616,0.44771206433141914,0.016774856019549984,0.25820568927789933,0.5686746987951807,914
456,Elliptic2_HistGradientBoosting,85267,18271,18272,0.022712346760070053,3.984710454940796,0.8657508756567426,0.12370753323485968,0.8072289156626506,0.21453730387447967,0.9248206130227354,0.4702611102683636,0.08523095725170997,0.2647702407002188,0.5831325301204819,914
456,Elliptic2_MLP,85267,18271,18272,0.022712346760070053,11.810663938522339,0.9810091943957968,0.788135593220339,0.22409638554216868,0.34896810506566606,0.9038225366043894,0.3912661004644482,0.01700915797993021,0.2439824945295405,0.5373493975903615,914
456,Elliptic2_XGBoost,85267,18271,18272,0.022712346760070053,3.8521077632904053,0.8501532399299475,0.11399135925556664,0.8265060240963855,0.2003504672897196,0.9205274027734391,0.4500793012448816,0.09444074667691198,0.2549234135667396,0.5614457831325301,914
789,Elliptic2_LogisticRegression,85267,18271,18272,0.022712346760070053,8.818415880203247,0.7992556917688266,0.08707793856308708,0.8265060240963855,0.15755627009646303,0.8752362645407186,0.14227750582882753,0.14196456919049785,0.17067833698030635,0.3759036144578313,914
789,Elliptic2_RandomForest,85267,18271,18272,0.022712346760070053,39.04377031326294,0.9824321366024519,0.9272727272727272,0.2457831325301205,0.38857142857142857,0.9282971613170496,0.505338675692366,0.015334551929104552,0.2899343544857768,0.6385542168674698,914
789,Elliptic2_ExtraTrees,85267,18271,18272,0.022712346760070053,21.158815145492554,0.9818301225919439,0.8672566371681416,0.236144578313253,0.3712121212121212,0.916251060128963,0.47235686019153117,0.016340593104042674,0.27461706783369805,0.6048192771084338,914
789,Elliptic2_HistGradientBoosting,85267,18271,18272,0.022712346760070053,4.290147542953491,0.8753830998248686,0.13432835820895522,0.8240963855421687,0.23100303951367782,0.9315566572725353,0.4816416399778324,0.0809366942935576,0.2800875273522976,0.6168674698795181,914
789,Elliptic2_MLP,85267,18271,18272,0.022712346760070053,16.030629873275757,0.9813922942206655,0.7272727272727273,0.2891566265060241,0.41379310344827586,0.9047086930912314,0.43693958773113384,0.016372346924530934,0.2592997811816193,0.5710843373493976,914
789,Elliptic2_XGBoost,85267,18271,18272,0.022712346760070053,3.8933169841766357,0.8548051663747811,0.11834924965893588,0.8361445783132531,0.2073498655512399,0.9259207182091193,0.47048116699513415,0.09272012719194825,0.2713347921225383,0.5975903614457831,914
2024,Elliptic2_LogisticRegression,85267,18271,18272,0.022712346760070053,8.5752592086792,0.7956983362521891,0.0873134328358209,0.8457831325301205,0.15828635851183764,0.8854128278809364,0.1461119493504336,0.1444744710454232,0.1761487964989059,0.38795180722891565,914
2024,Elliptic2_RandomForest,85267,18271,18272,0.022712346760070053,43.086445331573486,0.9820490367775832,0.9065420560747663,0.23373493975903614,0.3716475095785441,0.9219612841240079,0.4906776840392324,0.015646968861866842,0.26914660831509846,0.5927710843373494,914
2024,Elliptic2_ExtraTrees,85267,18271,18272,0.022712346760070053,29.960204124450684,0.9818848511383538,0.8818181818181818,0.23373493975903614,0.36952380952380953,0.917773665080887,0.46848035685506273,0.01650675287234104,0.27461706783369805,0.6048192771084338,914
2024,Elliptic2_HistGradientBoosting,85267,18271,18272,0.022712346760070053,4.585221290588379,0.8649299474605955,0.12330275229357798,0.8096385542168675,0.2140127388535032,0.9319089878020229,0.4972773230313554,0.08266112480539455,0.2844638949671772,0.6265060240963856,914
2024,Elliptic2_MLP,85267,18271,18272,0.022712346760070053,18.08099102973938,0.9819395796847635,0.7639751552795031,0.2963855421686747,0.4270833333333333,0.9095689922145882,0.43591748631046967,0.016350756589881544,0.24507658643326038,0.5397590361445783,914
2024,Elliptic2_XGBoost,85267,18271,18272,0.022712346760070053,3.776470899581909,0.852014010507881,0.11529411764705882,0.8265060240963855,0.20235988200589972,0.9316667689968026,0.4799666755355742,0.0936023592884546,0.2789934354485777,0.6144578313253012,914
